date,channel,campaign,country,bid,daily_budget,impressions,clicks,conversions,spend_usd
2025-01-29,Twitter,Flight,SG,0.664,494.34,11357,192,11,96.1
2025-02-18,Twitter,Hotel,JP,1.202,210.42,5642,188,8,210.42
2025-01-13,Google,Hotel,SG,0.806,121.26,19543,376,11,121.26
2025-01-16,Google,Flight,JP,0.393,474.69,6426,149,5,57.36
2025-02-24,Naver,Hotel,JP,0.552,482.03,9944,207,10,103.81
2025-01-07,Baidu,Hotel,JP,1.488,241.55,15305,489,21,241.55
2025-01-14,Baidu,Flight,TH,0.853,169.26,7169,162,8,150.13
2025-02-14,Baidu,Vacation,TH,1.038,147.63,867,29,0,22.7
2025-02-18,Naver,Hotel,JP,1.889,180.38,15715,448,13,180.38
2025-01-05,Baidu,Vacation,SG,1.211,411.0,18419,563,23,411.0
2025-02-09,Twitter,Flight,JP,0.171,259.17,642,16,1,2.54
2025-02-04,Baidu,Hotel,SG,1.597,324.6,11005,369,22,324.6
2025-02-20,Twitter,Vacation,TW,0.521,202.63,2102,38,1,15.87
2025-01-01,Facebook,Flight,TH,1.925,478.03,6345,178,4,378.89
2025-01-16,Google,Hotel,SG,0.349,118.09,6915,131,5,43.62
2025-02-28,Facebook,Vacation,KR,0.148,232.6,7364,143,7,16.61
2025-02-06,Facebook,Flight,KR,1.607,380.83,4640,147,5,240.57
2025-02-10,Baidu,Flight,TH,1.888,196.24,7793,234,8,196.24
2025-01-24,Twitter,Flight,JP,1.703,325.54,16695,508,15,325.54
2025-01-27,Google,Vacation,KR,0.24,108.37,6881,181,8,42.25
2025-02-07,Google,Hotel,TH,1.439,470.45,15651,479,17,470.45
2025-01-21,Naver,Flight,TH,0.479,156.24,5258,117,5,62.43
2025-02-06,Twitter,Hotel,TH,0.688,259.75,15838,311,7,243.98
2025-02-05,Baidu,Flight,SG,0.4,308.61,2578,54,1,16.78
2025-01-29,Naver,Vacation,TH,0.571,253.31,10611,233,5,172.12
2025-02-09,Google,Flight,TW,0.857,437.52,11078,227,11,202.11
2025-01-17,Facebook,Hotel,JP,1.978,465.38,9207,296,9,465.38
2025-02-05,Twitter,Hotel,TH,0.692,231.42,13286,275,7,231.42
2025-02-13,Google,Flight,JP,1.611,376.13,7279,231,3,376.13
2025-01-02,Google,Vacation,JP,1.222,151.41,16863,509,25,151.41
2025-01-27,Twitter,Hotel,JP,0.66,404.53,8695,175,6,124.8
2025-02-14,Naver,Vacation,KR,1.129,172.46,4920,163,5,140.31
2025-02-16,Baidu,Hotel,SG,1.297,403.82,3063,79,2,126.63
2025-02-06,Twitter,Vacation,SG,0.823,60.87,15852,342,14,60.87
2025-01-31,Google,Flight,SG,0.887,261.45,5397,118,2,112.47
2025-02-08,Naver,Flight,JP,0.253,162.41,1791,26,1,8.43
2025-01-15,Naver,Vacation,JP,1.067,417.94,12952,389,9,417.94
2025-02-02,Baidu,Vacation,KR,1.087,326.3,1823,73,1,90.28
2025-02-06,Google,Hotel,SG,0.441,264.89,5753,110,5,50.97
2025-02-13,Baidu,Vacation,TW,1.786,102.36,8092,233,7,102.36
2025-02-14,Baidu,Hotel,TW,0.159,161.05,10156,196,8,33.74
2025-02-10,Baidu,Hotel,TW,1.791,190.92,9499,280,4,190.92
2025-01-02,Naver,Vacation,TW,0.493,78.88,11282,229,8,78.88
2025-01-21,Facebook,Flight,TW,1.739,71.75,13115,371,11,71.75
2025-01-18,Facebook,Vacation,SG,0.832,201.72,7600,148,5,119.59
2025-02-05,Facebook,Flight,TW,1.732,438.36,5332,162,3,295.89
2025-02-03,Naver,Hotel,JP,0.195,61.54,14729,336,10,61.54
2025-02-16,Naver,Flight,SG,1.159,195.2,14005,441,20,195.2
2025-01-03,Google,Flight,JP,1.132,224.6,12899,386,13,224.6
2025-02-26,Twitter,Flight,JP,1.755,215.29,7071,214,9,215.29
2025-02-04,Naver,Vacation,TW,1.258,496.95,7570,227,13,307.81
2025-01-21,Naver,Hotel,JP,1.597,476.61,3288,105,1,214.2
2025-02-08,Naver,Vacation,SG,1.81,441.56,11948,348,8,441.56
2025-02-17,Facebook,Hotel,TW,0.446,299.91,17411,376,6,169.69
2025-02-24,Google,Vacation,SG,1.518,426.53,11750,343,5,426.53
2025-02-08,Twitter,Vacation,JP,0.736,370.8,19901,422,18,323.92
2025-02-12,Naver,Hotel,TH,1.565,100.15,13543,393,12,100.15
2025-02-21,Google,Vacation,TW,1.93,86.35,11958,340,6,86.35
2025-02-23,Baidu,Flight,TH,0.838,363.78,10839,231,10,244.62
2025-01-09,Facebook,Flight,KR,0.209,88.39,1137,24,0,6.38
2025-01-12,Naver,Flight,JP,1.174,273.66,12559,381,21,273.66
2025-01-28,Twitter,Flight,TW,1.616,153.92,9158,276,7,153.92
2025-01-24,Facebook,Vacation,KR,1.954,490.2,18793,595,16,490.2
2025-02-14,Facebook,Vacation,TW,1.556,472.9,10689,297,13,470.64
2025-02-04,Naver,Flight,KR,0.701,134.65,17307,346,14,134.65
2025-01-19,Naver,Vacation,TW,0.302,183.58,8580,174,9,64.29
2025-01-08,Naver,Vacation,TH,0.956,198.82,2138,52,2,55.97
2025-02-08,Baidu,Vacation,KR,1.012,277.67,17021,515,19,277.67
2025-01-10,Baidu,Flight,TW,0.412,244.75,18346,343,14,149.48
2025-02-08,Twitter,Hotel,JP,1.073,214.24,8680,256,5,196.2
2025-02-16,Baidu,Hotel,SG,1.987,142.05,14431,423,17,142.05
2025-01-13,Google,Hotel,JP,1.575,312.54,11413,348,12,312.54
2025-02-18,Facebook,Flight,SG,1.142,129.92,14709,439,12,129.92
2025-02-04,Facebook,Vacation,TW,1.917,273.62,18764,539,21,273.62
2025-01-16,Twitter,Flight,TH,0.106,299.68,1141,17,2,1.96
2025-02-17,Baidu,Vacation,KR,0.289,374.25,8169,171,5,40.61
2025-02-27,Baidu,Hotel,TH,1.588,322.42,14233,428,15,322.42
2025-02-02,Twitter,Vacation,JP,0.263,237.16,3960,77,4,21.83
2025-01-07,Facebook,Hotel,TH,1.713,276.13,2219,56,2,121.03
2025-01-09,Google,Hotel,TW,0.731,102.49,1605,28,3,20.69
2025-01-11,Facebook,Hotel,TH,1.387,247.7,10237,317,11,247.7
2025-01-25,Naver,Hotel,KR,1.721,212.21,16572,510,17,212.21
2025-01-12,Naver,Flight,KR,0.592,464.49,6027,141,7,69.73
2025-01-30,Google,Vacation,TW,0.452,120.45,5957,118,1,59.72
2025-03-01,Twitter,Flight,TH,0.611,74.69,2697,45,1,28.65
2025-01-08,Facebook,Flight,JP,0.677,316.5,14369,300,13,201.43
2025-01-15,Naver,Flight,JP,1.775,275.9,12138,325,14,275.9
2025-02-05,Facebook,Hotel,TH,1.385,71.09,15060,469,18,71.09
2025-02-04,Google,Hotel,JP,0.958,304.23,5618,137,8,153.57
2025-02-24,Facebook,Vacation,JP,1.383,139.0,15843,476,15,139.0
2025-02-26,Twitter,Flight,JP,1.785,254.53,6071,180,3,254.53
2025-02-18,Naver,Vacation,TW,0.492,369.39,10462,205,6,106.79
2025-02-17,Facebook,Hotel,KR,0.535,104.81,10893,216,9,103.98
2025-02-24,Baidu,Vacation,JP,0.12,304.25,10680,206,8,28.47
2025-02-06,Google,Hotel,SG,0.215,161.12,7397,134,6,26.39
2025-02-22,Baidu,Vacation,JP,0.87,448.46,2853,54,1,41.27
2025-01-01,Google,Hotel,TH,0.587,254.97,16300,344,18,215.75
2025-02-04,Twitter,Flight,TW,1.143,58.48,13002,362,20,58.48
2025-02-10,Twitter,Flight,SG,0.54,257.86,15739,298,7,129.23
2025-01-15,Facebook,Flight,TH,0.49,329.55,3629,72,1,35.56
2025-02-27,Facebook,Hotel,TH,0.598,261.58,15396,348,15,251.22
2025-02-27,Baidu,Flight,TH,0.452,240.04,18545,361,8,136.42
2025-01-27,Twitter,Vacation,SG,0.308,358.22,5493,95,3,32.6
2025-02-02,Baidu,Hotel,TW,0.158,178.92,13915,273,12,51.71
2025-01-04,Twitter,Hotel,KR,0.337,287.12,17517,365,8,103.83
2025-02-05,Google,Flight,KR,0.604,158.37,14828,296,14,158.37
2025-02-08,Google,Vacation,JP,0.827,329.79,3773,67,7,51.74
2025-02-28,Naver,Hotel,TH,0.429,56.18,3956,73,1,28.92
2025-01-15,Baidu,Vacation,TW,0.4,449.59,7785,140,10,46.21
2025-02-13,Facebook,Flight,JP,0.75,110.75,19075,372,12,110.75
2025-01-30,Google,Hotel,TW,0.98,420.07,1999,39,1,37.51
2025-02-20,Google,Vacation,SG,0.898,62.08,9991,190,2,62.08
2025-02-06,Facebook,Flight,TW,0.811,225.56,6583,141,3,126.36
2025-01-26,Twitter,Flight,JP,0.56,438.74,7201,145,5,92.32
2025-02-14,Naver,Flight,TH,1.357,297.03,2442,59,2,80.3
2025-01-29,Facebook,Flight,JP,0.255,256.29,19811,406,12,103.56
2025-02-02,Google,Vacation,JP,1.039,171.94,14036,471,17,171.94
2025-01-15,Google,Vacation,KR,0.399,168.31,13608,277,15,88.29
2025-02-15,Facebook,Hotel,JP,1.041,171.15,11629,324,11,171.15
2025-01-26,Facebook,Flight,SG,1.822,290.74,5144,152,7,290.74
2025-01-12,Google,Hotel,SG,0.369,99.9,10031,188,9,51.14
2025-01-12,Baidu,Vacation,KR,0.912,67.63,13204,286,12,67.63
2025-01-22,Facebook,Vacation,TW,0.133,495.9,10415,187,4,20.41
2025-02-05,Baidu,Flight,KR,0.787,365.65,1315,23,0,23.52
2025-02-21,Google,Vacation,TW,1.243,85.02,5924,211,7,85.02
2025-01-07,Facebook,Hotel,SG,0.597,243.46,15773,289,9,140.53
2025-01-31,Naver,Hotel,KR,1.616,188.34,1725,64,2,93.68
2025-03-01,Facebook,Hotel,SG,1.142,355.53,10310,341,13,355.53
2025-02-01,Naver,Vacation,TH,0.745,234.28,7872,157,7,131.93
2025-02-22,Twitter,Hotel,KR,0.743,136.98,8806,156,1,89.84
2025-01-01,Twitter,Vacation,SG,0.315,439.71,2086,30,1,6.75
2025-02-12,Google,Flight,TH,1.697,300.09,15995,508,21,300.09
2025-02-15,Google,Hotel,JP,0.702,224.89,14779,288,21,224.89
2025-02-03,Google,Vacation,TW,1.396,264.91,4431,137,4,224.94
2025-01-07,Google,Vacation,SG,1.958,165.48,19251,553,19,165.48
2025-02-03,Baidu,Hotel,KR,1.724,305.44,16890,516,27,305.44
2025-02-16,Twitter,Flight,TW,0.867,160.82,17951,366,7,160.82
2025-02-20,Facebook,Flight,JP,0.568,102.28,14165,237,4,102.28
2025-01-04,Naver,Flight,TH,1.963,382.38,19209,599,19,382.38
2025-02-18,Google,Flight,KR,0.498,112.67,15797,314,12,112.67
2025-02-07,Twitter,Hotel,KR,0.984,224.0,4564,68,3,64.54
2025-02-25,Google,Flight,KR,1.243,97.97,3276,106,5,97.97
2025-01-21,Google,Flight,TH,0.657,487.58,362,4,0,2.58
2025-02-21,Facebook,Vacation,JP,1.566,113.63,19131,553,10,113.63
2025-02-21,Twitter,Flight,TH,1.571,237.55,17302,485,10,237.55
2025-02-25,Facebook,Vacation,TW,1.736,355.99,4291,129,5,285.53
2025-02-13,Baidu,Hotel,JP,1.846,155.32,7935,246,11,155.32
2025-01-23,Twitter,Vacation,JP,0.38,55.18,7846,166,7,55.18
2025-03-01,Naver,Hotel,KR,1.123,482.73,17121,508,20,473.74
2025-02-07,Naver,Vacation,SG,1.067,175.03,19124,604,20,175.03
2025-02-16,Naver,Flight,KR,0.22,111.21,17191,354,9,70.29
2025-01-09,Facebook,Flight,TW,0.582,311.86,19051,386,13,227.18
2025-02-01,Google,Vacation,KR,1.373,369.26,8279,295,14,299.35
2025-01-31,Naver,Vacation,TH,0.218,326.64,10157,189,4,32.67
2025-02-20,Google,Vacation,TW,1.405,325.93,9309,301,11,325.93
2025-02-10,Facebook,Vacation,TH,1.401,388.65,17043,537,12,388.65
2025-02-19,Naver,Hotel,SG,1.014,425.61,5245,164,4,197.16
2025-02-01,Twitter,Hotel,TH,1.588,257.27,704,21,1,41.69
2025-01-28,Google,Hotel,KR,1.424,52.63,5319,150,6,52.63
2025-02-12,Facebook,Flight,TH,1.338,402.31,13448,393,14,402.31
2025-02-27,Twitter,Vacation,JP,0.36,300.49,15310,321,6,118.43
2025-02-23,Twitter,Hotel,JP,0.389,430.96,10692,213,6,79.05
2025-01-14,Twitter,Flight,TH,0.797,134.8,6865,135,3,125.15
2025-02-12,Facebook,Vacation,TH,0.695,264.16,2185,46,3,25.95
2025-01-10,Baidu,Flight,KR,1.974,371.74,7232,212,6,302.8
2025-01-30,Facebook,Vacation,KR,1.938,222.46,8095,246,7,222.46
2025-02-07,Naver,Flight,TW,0.175,478.55,8261,140,6,27.36
2025-02-07,Naver,Hotel,KR,0.498,494.19,13044,231,7,133.57
2025-02-22,Facebook,Vacation,TW,0.314,283.79,5682,126,3,30.44
2025-01-10,Naver,Vacation,SG,0.104,196.53,6911,123,2,14.76
2025-01-24,Twitter,Flight,SG,0.265,182.01,13920,248,7,84.91
2025-01-25,Naver,Vacation,TH,0.183,206.47,12553,251,12,38.05
2025-02-26,Naver,Flight,SG,1.922,222.15,9930,299,7,222.15
2025-02-28,Naver,Vacation,KR,0.282,110.81,9756,194,3,49.8
2025-02-03,Naver,Vacation,SG,1.592,428.92,1074,35,1,44.19
2025-01-22,Google,Flight,TW,1.208,199.01,17575,543,17,199.01
2025-01-13,Google,Hotel,TH,1.259,349.45,13948,402,20,349.45
2025-01-09,Facebook,Flight,SG,1.44,391.25,6476,196,6,228.31
2025-02-08,Naver,Vacation,KR,0.831,470.66,13982,293,18,282.54
2025-02-23,Baidu,Flight,JP,0.693,315.72,2155,47,3,36.13
2025-02-22,Naver,Hotel,TW,1.469,176.65,13545,418,13,176.65
2025-01-01,Baidu,Flight,TW,1.033,199.12,15547,476,17,199.12
2025-01-21,Naver,Hotel,TH,2.0,333.66,4555,152,3,220.27
2025-01-05,Facebook,Vacation,JP,1.161,59.13,14214,421,9,59.13
2025-02-06,Naver,Hotel,KR,1.204,352.1,17348,527,10,352.1
2025-02-02,Facebook,Flight,JP,0.244,397.59,3630,75,4,21.27
2025-01-05,Facebook,Hotel,KR,1.509,139.46,16869,524,15,139.46
2025-03-01,Facebook,Vacation,TH,1.858,448.43,13779,404,8,448.43
2025-02-20,Facebook,Flight,SG,1.353,175.64,15558,443,9,175.64
2025-01-20,Baidu,Vacation,TH,1.986,421.81,10690,365,21,421.81
2025-01-26,Baidu,Flight,TW,0.363,343.93,16162,321,13,105.7
2025-02-20,Naver,Hotel,TH,0.835,215.85,15509,308,13,215.85
2025-01-31,Naver,Vacation,TW,0.309,394.22,10924,225,2,74.63
2025-02-13,Google,Flight,JP,0.516,69.82,1333,26,0,14.25
2025-01-11,Baidu,Flight,TW,1.536,290.22,15632,467,16,290.22
2025-01-20,Baidu,Vacation,KR,1.871,81.18,2641,85,1,81.18
2025-01-29,Google,Flight,TW,0.979,432.15,17703,371,18,383.14
2025-01-14,Naver,Vacation,JP,0.693,424.54,14846,284,10,169.61
2025-02-13,Facebook,Hotel,TH,1.502,417.8,282,10,0,16.28
2025-01-09,Baidu,Hotel,SG,0.745,53.18,3881,91,4,53.18
2025-01-17,Twitter,Hotel,JP,0.174,292.52,9765,220,6,34.41
2025-02-27,Twitter,Vacation,JP,1.016,112.57,5499,172,4,112.57
2025-02-02,Baidu,Flight,JP,0.669,444.46,10451,205,11,143.53
2025-02-08,Twitter,Flight,SG,0.24,151.3,5923,112,2,22.96
2025-01-21,Google,Vacation,TH,1.057,461.31,14185,398,16,311.49
2025-01-21,Naver,Vacation,SG,0.222,350.36,12169,233,2,38.88
2025-01-07,Baidu,Vacation,TH,1.9,351.77,7526,244,6,351.77
2025-02-23,Baidu,Vacation,SG,0.652,331.7,19412,360,13,198.43
2025-01-29,Twitter,Hotel,TW,0.946,411.14,12471,248,9,174.42
2025-01-01,Naver,Vacation,TH,1.702,210.96,9426,271,8,210.96
2025-02-03,Google,Flight,KR,1.168,261.35,10975,321,13,261.35
2025-02-22,Naver,Vacation,TH,1.325,197.14,12008,335,12,197.14
2025-02-17,Facebook,Flight,TW,0.977,204.61,4079,81,2,97.22
2025-02-01,Baidu,Vacation,TW,1.996,231.44,17492,529,22,231.44
2025-01-13,Google,Flight,SG,0.439,328.91,12176,257,8,82.2
2025-01-14,Google,Hotel,JP,0.627,90.8,424,11,0,6.16
2025-02-16,Facebook,Hotel,SG,0.191,495.87,9640,181,7,31.35
2025-01-08,Twitter,Flight,KR,1.799,407.66,10273,339,12,407.66
2025-01-14,Baidu,Flight,TH,1.113,168.05,552,11,0,10.61
2025-01-26,Naver,Flight,SG,1.201,146.67,14937,465,13,146.67
2025-01-01,Facebook,Hotel,TH,1.277,50.86,3325,112,4,50.86
2025-02-07,Twitter,Vacation,KR,1.803,111.11,8367,270,8,111.11
2025-01-16,Facebook,Flight,KR,1.05,458.33,13485,430,15,393.88
2025-02-07,Twitter,Vacation,TH,0.928,175.99,13216,265,12,175.99
2025-02-08,Twitter,Hotel,TH,1.983,50.36,15828,475,16,50.36
2025-02-27,Naver,Vacation,TW,1.013,453.05,17941,532,18,395.24
2025-01-10,Naver,Vacation,JP,0.552,423.91,19343,408,14,197.5
2025-02-10,Twitter,Hotel,KR,1.357,405.58,10872,307,8,317.8
2025-01-13,Baidu,Hotel,TH,1.072,117.7,12685,378,19,117.7
2025-02-14,Facebook,Hotel,TW,1.254,113.29,2532,75,3,104.11
2025-01-29,Google,Vacation,TH,1.544,393.37,9804,308,11,393.37
2025-01-08,Naver,Flight,JP,1.537,493.17,13210,436,16,493.17
2025-02-05,Twitter,Hotel,JP,1.549,319.72,4634,130,3,177.5
2025-02-28,Twitter,Flight,JP,0.435,148.05,12233,221,2,92.28
2025-02-15,Google,Vacation,JP,0.928,252.15,8733,167,5,179.91
2025-01-30,Twitter,Hotel,TH,0.124,387.26,14371,288,6,28.42
2025-02-15,Baidu,Hotel,TW,0.907,394.8,1679,37,1,41.8
2025-02-20,Naver,Flight,TW,0.724,92.77,10262,207,3,92.77
2025-01-24,Naver,Flight,KR,0.905,283.77,2857,54,0,46.74
2025-02-27,Google,Flight,TH,1.995,187.75,16723,476,27,187.75
2025-01-10,Twitter,Hotel,TH,1.964,480.26,18078,516,15,480.26
2025-02-02,Facebook,Vacation,JP,0.528,286.8,17898,370,8,203.72
2025-01-21,Naver,Hotel,KR,1.282,408.48,8433,232,6,284.28
2025-01-01,Facebook,Hotel,KR,1.546,285.68,9457,300,7,285.68
2025-03-01,Twitter,Hotel,SG,1.578,466.78,4566,133,4,256.65
2025-02-07,Google,Hotel,TW,1.864,415.06,4753,148,9,311.28
2025-02-19,Naver,Flight,JP,1.817,368.34,11055,354,7,368.34
2025-01-14,Google,Hotel,TW,0.957,92.28,3897,77,4,92.28
2025-01-14,Twitter,Flight,SG,1.587,363.4,6282,186,10,234.54
2025-01-01,Baidu,Flight,TH,1.145,258.62,4602,149,4,219.31
2025-01-17,Google,Vacation,SG,0.204,122.84,4709,92,3,21.62
2025-02-03,Baidu,Flight,TH,1.864,375.76,10530,323,14,375.76
2025-01-31,Facebook,Vacation,SG,1.349,372.66,13933,400,11,372.66
2025-01-24,Twitter,Flight,SG,1.805,278.31,4119,107,3,196.94
2025-01-08,Naver,Vacation,KR,1.187,394.68,9091,242,9,343.87
2025-01-09,Baidu,Hotel,KR,1.017,149.51,5687,185,7,140.39
2025-02-06,Facebook,Flight,SG,0.285,259.32,3033,61,3,20.11
2025-01-11,Naver,Hotel,TH,1.94,160.18,18573,561,20,160.18
2025-01-31,Twitter,Vacation,KR,0.179,293.05,660,17,2,3.94
2025-01-30,Google,Hotel,SG,1.946,487.03,6271,173,8,353.15
2025-02-21,Facebook,Vacation,JP,1.541,205.09,15345,443,16,205.09
2025-01-01,Twitter,Vacation,TH,0.631,108.86,11851,227,1,108.86
2025-01-21,Facebook,Hotel,TH,0.711,288.98,18560,359,12,288.98
2025-01-04,Baidu,Flight,TH,1.853,267.36,8437,266,9,267.36
2025-01-29,Facebook,Flight,KR,0.196,56.96,570,9,0,1.97
2025-02-02,Google,Flight,SG,0.198,408.38,16212,321,17,80.82
2025-02-21,Baidu,Flight,JP,0.114,486.65,7570,142,6,20.67
2025-02-27,Baidu,Flight,KR,0.377,126.34,19845,426,17,126.34
2025-02-25,Naver,Vacation,TW,1.273,464.19,9441,290,10,298.23
2025-01-29,Facebook,Vacation,KR,0.55,122.19,3484,59,3,28.42
2025-01-27,Naver,Flight,TH,0.477,119.99,6724,138,4,54.68
2025-02-27,Facebook,Flight,SG,0.55,119.28,14336,259,11,119.28
2025-01-21,Twitter,Hotel,TW,1.572,290.7,6956,201,6,290.7
2025-01-10,Naver,Flight,TH,0.434,227.59,7417,147,4,44.85
2025-01-23,Facebook,Flight,TW,1.826,315.77,3292,110,3,192.19
2025-02-26,Facebook,Flight,TH,0.609,325.46,12197,251,13,161.31
2025-01-25,Naver,Vacation,TW,0.191,161.04,3834,85,4,13.71
2025-02-05,Twitter,Flight,KR,1.833,209.07,1813,49,2,84.03
2025-02-05,Facebook,Hotel,TH,0.313,163.86,19872,374,11,129.8
2025-02-05,Twitter,Vacation,TW,0.895,345.79,13760,252,9,194.66
2025-01-25,Facebook,Vacation,KR,0.414,371.72,17001,310,8,97.17
2025-01-06,Twitter,Flight,JP,1.02,380.92,18930,616,19,380.92
2025-02-21,Google,Flight,JP,1.067,101.59,3444,114,2,101.59
2025-02-15,Baidu,Hotel,KR,1.89,112.52,8741,266,8,112.52
2025-02-27,Twitter,Flight,KR,1.018,185.38,16286,482,22,185.38
2025-01-30,Facebook,Hotel,SG,0.954,361.35,5256,100,2,68.06
2025-02-15,Baidu,Hotel,TW,0.97,75.51,5994,136,5,75.51
2025-02-08,Facebook,Hotel,KR,1.681,352.27,17133,521,7,352.27
2025-01-02,Naver,Hotel,SG,1.907,321.52,11389,366,13,321.52
2025-01-30,Google,Hotel,JP,1.307,456.9,11346,341,14,402.92
2025-01-01,Baidu,Vacation,TW,0.38,327.41,15320,306,13,134.07
2025-02-23,Twitter,Hotel,JP,1.07,179.96,4423,160,4,148.71
2025-02-19,Facebook,Vacation,TH,1.383,309.12,2525,69,2,121.28
2025-02-01,Google,Hotel,TW,0.339,370.96,13120,249,12,70.83
2025-02-26,Baidu,Hotel,KR,0.422,100.99,3940,84,3,39.97
2025-01-10,Baidu,Hotel,JP,0.108,180.64,6898,126,0,17.48
2025-01-11,Google,Flight,SG,1.388,372.42,2884,90,3,131.34
2025-01-04,Naver,Vacation,KR,0.765,286.22,8800,183,3,102.42
2025-02-22,Baidu,Flight,SG,1.261,368.62,16194,479,20,368.62
2025-02-14,Google,Flight,TH,0.199,213.12,7203,137,5,30.23
2025-01-19,Facebook,Hotel,TW,1.832,196.68,5800,198,6,196.68
2025-01-28,Twitter,Flight,JP,1.719,52.79,5431,163,5,52.79
2025-01-12,Naver,Vacation,TH,1.309,400.31,6011,155,2,211.0
2025-02-25,Naver,Flight,TW,1.552,488.6,19939,591,17,488.6
2025-02-11,Google,Vacation,TW,0.314,454.02,19223,388,15,151.47
2025-01-26,Naver,Flight,TH,0.871,430.4,15793,304,10,207.62
2025-02-10,Twitter,Flight,SG,1.078,341.16,11645,353,17,341.16
2025-02-01,Twitter,Vacation,JP,0.831,288.56,19996,356,17,213.15
2025-02-19,Google,Hotel,TH,0.222,316.79,14132,276,4,48.6
2025-02-14,Twitter,Flight,TH,1.75,122.99,3562,100,5,122.99
2025-01-26,Google,Hotel,TW,1.491,228.35,1034,29,2,36.28
